@Caption,ブロードバンドサービス等の契約数の推移,,,,,,,
@Creator,総合通信基盤局電気通信事業部データ通信課,,,,,,,
@Date,2021/6/30,,,,,,,
@Language,ja,,,,,,,
@@Title,,,,,,,,
西暦年,四半期,都道府県名,FTTH,DSL,CATV,FWA,BWA,LTE
@@Unit,,,,,,,,
年,期末,,契約数,契約数,契約数,契約数,契約数,契約数
@@Datatype,,,,,,,,
xsd:string,xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer
2008,Q3,栃木県,"156,311","190,858","49,293",0,-,-
2008,Q3,群馬県,"173,090","205,349","18,692",1,-,-
2008,Q3,埼玉県,"788,283","708,005","256,833",504,-,-
2008,Q3,千葉県,"736,252","618,582","199,257",467,-,-
2008,Q3,東京都,"2,459,600","1,569,047","548,851","1,141",-,-
2008,Q3,神奈川県,"1,243,959","993,326","386,896","1,777",-,-
2008,Q3,新潟県,"162,550","238,281","24,309",1,-,-
2008,Q3,富山県,"65,201","74,697","84,621",252,-,-
2008,Q3,石川県,"99,775","102,876","34,504",170,-,-
2008,Q3,福井県,"53,811","50,879","58,566",4,-,-
2008,Q3,山梨県,"71,417","82,008","22,713",5,-,-
2008,Q3,長野県,"157,971","192,879","92,883",0,-,-
2008,Q3,岐阜県,"155,562","170,307","85,849",610,-,-
2008,Q3,静岡県,"345,699","462,957","53,282",265,-,-
2008,Q3,愛知県,"798,722","658,303","337,881",29,-,-
2008,Q3,三重県,"113,464","114,118","180,524",153,-,-
2008,Q3,滋賀県,"194,358","102,128","18,614",0,-,-
2008,Q3,京都府,"377,106","276,876","18,309",1,-,-
2008,Q3,大阪府,"1,254,921","783,209","398,745",69,-,-
2008,Q3,兵庫県,"617,936","487,441","203,368",2,-,-
2008,Q3,奈良県,"155,550","128,794","34,153",0,-,-
2008,Q3,和歌山県,"105,156","65,092","27,834",0,-,-
2008,Q3,鳥取県,"37,601","43,167","24,436",0,-,-
